x,y,annotation,total_raw
-0.3316837,0.30047083,Dorsal root ganglion,0.0001379120494234
-0.29429382,2.6125615,Brain,0.0001012284220473
-0.29429382,2.6125615,Brain,0.0001012284220473
-0.12539028,1.094902,Cavity,0.0008112271263583
-0.73787624,3.3594992,Brain,0.0001012284220473
-0.73787624,3.3594992,Brain,0.0001012284220473
-0.41061676,0.6744364,Muscle,0.0004104398933796
0.124629274,3.3763058,Brain,0.0001012284220473
-0.5257838,2.460233,Meninges,0.0016867009332845
-0.28604776,1.1849673,GI tract,0.0007179822187211
-0.81872827,0.3329331,Cavity,0.0008112271263583
-0.31524903,2.180434,Jaw and tooth,0.0010585365113058
-0.7450576,2.7613375,Choroid plexus,0.0011645210948657
-1.0024635,2.9447472,Brain,0.0001012284220473
0.065333486,3.4037392,Brain,0.0001012284220473
1.0109164,2.6787825,Cavity,0.0008112271263583
0.5526513,0.47013363,Cavity,0.0008112271263583
-0.51790047,2.7014766,Brain,0.0001012284220473
-0.51790047,2.7014766,Brain,0.0001012284220473
1.0215967,2.7859285,Cavity,0.0008112271263583
-0.12882183,0.74272156,Urogenital ridge,0.0002598097571595
-0.76233333,0.67125404,Cartilage primordium,0.0006583575051392
-0.76233333,0.67125404,Cartilage primordium,0.0006583575051392
-0.44151947,2.1730795,Jaw and tooth,0.0010585365113058
-0.22079967,1.0526727,GI tract,0.0007179822187211
-0.25645489,0.5273048,Cartilage primordium,0.0006583575051392
-0.8283803,0.8891356,Muscle,0.0004104398933796
-0.8283803,0.8891356,Muscle,0.0004104398933796
-0.836138,0.8800998,Muscle,0.0004104398933796
-0.62427795,2.204927,Jaw and tooth,0.0010585365113058
-0.62427795,2.204927,Jaw and tooth,0.0010585365113058
-0.075865455,1.1948833,Liver,5.878913334551151e-05
0.0076473565,2.98052,Brain,0.0001012284220473
0.0076473565,2.98052,Brain,0.0001012284220473
0.70519704,1.7821097,Muscle,0.0004104398933796
0.76369435,2.0554473,Muscle,0.0004104398933796
0.19404507,0.2530524,Epidermis,0.0011758541459524
-0.3521451,0.755211,Cartilage primordium,0.0006583575051392
0.82404715,2.6351168,Spinal cord,0.0001044471354073
0.13954523,1.667375,Heart,0.0007755651592048
0.13954523,1.667375,Heart,0.0007755651592048
0.3453021,0.73644716,Muscle,0.0004104398933796
-0.5858058,2.298159,Jaw and tooth,0.0010585365113058
0.38059756,0.56921107,Muscle,0.0004104398933796
-0.3019154,2.7342014,Brain,0.0001012284220473
0.39753765,1.1130707,Ovary,0.0002054822990397
-0.115927,2.324865,Muscle,0.0004104398933796
0.09070147,3.3562567,Brain,0.0001012284220473
-0.8159256,2.4493642,Jaw and tooth,0.0010585365113058
-0.15875508,2.1396358,Jaw and tooth,0.0010585365113058
-0.15875508,2.1396358,Jaw and tooth,0.0010585365113058
0.65377194,2.920302,Meninges,0.0016867009332845
0.65377194,2.920302,Meninges,0.0016867009332845
0.97497374,2.1559565,Cartilage primordium,0.0006583575051392
-0.46287328,0.5994182,Cartilage primordium,0.0006583575051392
-0.6231206,0.5588864,Cartilage primordium,0.0006583575051392
-0.6231206,0.5588864,Cartilage primordium,0.0006583575051392
-0.7954443,2.4900002,Meninges,0.0016867009332845
-0.7954443,2.4900002,Meninges,0.0016867009332845
0.5273352,3.0771232,Brain,0.0001012284220473
0.5273352,3.0771232,Brain,0.0001012284220473
-0.8648589,0.47517478,Cavity,0.0008112271263583
-0.02617035,2.9649954,Brain,0.0001012284220473
-0.02617035,2.9649954,Brain,0.0001012284220473
-0.048626065,2.9684196,Brain,0.0001012284220473
-0.1691687,1.84222,Epidermis,0.0011758541459524
-0.89538175,0.49121404,Cavity,0.0008112271263583
-0.018214716,1.9123536,Epidermis,0.0011758541459524
-0.018214716,1.9123536,Epidermis,0.0011758541459524
-0.8345008,1.9725108,Jaw and tooth,0.0010585365113058
-0.8572364,2.502023,Jaw and tooth,0.0010585365113058
0.02587468,0.26456445,Epidermis,0.0011758541459524
-0.79611826,3.397698,Cavity,0.0008112271263583
-0.64178663,1.0060239,GI tract,0.0007179822187211
0.011402013,0.28830686,Spinal cord,0.0001044471354073
0.011112918,2.7960665,Meninges,0.0016867009332845
-0.86360466,3.1764777,Meninges,0.0016867009332845
-0.042971477,0.63189626,Muscle,0.0004104398933796
0.84220594,2.6983912,Brain,0.0001012284220473
-0.7002703,0.8959992,Connective tissue,0.0005295658000595
0.31539705,2.0675194,Muscle,0.0004104398933796
0.6258131,2.4762018,Meninges,0.0016867009332845
-0.4570973,1.2359658,GI tract,0.0007179822187211
-0.8425712,2.9245963,Brain,0.0001012284220473
0.056912687,2.832246,Meninges,0.0016867009332845
-0.527156,1.2041248,GI tract,0.0007179822187211
-0.08811233,0.40988314,Cartilage primordium,0.0006583575051392
0.17019033,3.4757001,Brain,0.0001012284220473
0.17019033,3.4757001,Brain,0.0001012284220473
-0.07858904,2.2719266,Muscle,0.0004104398933796
-0.8192587,1.290595,Mesentery,0.0007333304561841
0.7075405,1.9310522,Muscle,0.0004104398933796
0.5901387,2.29027,Cartilage primordium,0.0006583575051392
-0.5940134,1.8724779,Jaw and tooth,0.0010585365113058
-0.16204831,3.0900671,Brain,0.0001012284220473
0.097169556,3.1311097,Brain,0.0001012284220473
-0.98485976,2.0251029,Cavity,0.0008112271263583
0.4294731,0.44863766,Cartilage primordium,0.0006583575051392
0.99949276,1.4579595,Connective tissue,0.0005295658000595
0.99949276,1.4579595,Connective tissue,0.0005295658000595
0.12891854,3.4870105,Brain,0.0001012284220473
0.39238435,2.0801842,Mucosal epithelium,0.0004236119567887
-0.9440507,1.004634,Epidermis,0.0011758541459524
-0.9440507,1.004634,Epidermis,0.0011758541459524
-0.12486987,2.2850585,Muscle,0.0004104398933796
-0.83169115,2.7982655,Meninges,0.0016867009332845
0.123709574,1.6242785,Heart,0.0007755651592048
-0.9135796,3.0870829,Meninges,0.0016867009332845
0.37289193,2.2030172,Mucosal epithelium,0.0004236119567887
0.37289193,2.2030172,Mucosal epithelium,0.0004236119567887
0.3109123,0.3586767,Epidermis,0.0011758541459524
0.4413294,1.1597333,Cavity,0.0008112271263583
0.4413294,1.1597333,Cavity,0.0008112271263583
-0.85267854,1.9157332,Jaw and tooth,0.0010585365113058
-0.9713444,2.718451,Brain,0.0001012284220473
-0.6802187,0.50484014,Dorsal root ganglion,0.0001379120494234
-0.6802187,0.50484014,Dorsal root ganglion,0.0001379120494234
-0.7762303,2.4968877,Meninges,0.0016867009332845
-0.89011115,2.5380297,Choroid plexus,0.0011645210948657
0.5192948,1.4623445,Lung primordium,0.0002403667254042
0.5192948,1.4623445,Lung primordium,0.0002403667254042
-0.193653,2.1142745,Jaw and tooth,0.0010585365113058
-0.193653,2.1142745,Jaw and tooth,0.0010585365113058
0.5140813,2.8388815,Brain,0.0001012284220473
-0.18073957,0.9223934,GI tract,0.0007179822187211
-0.18073957,0.9223934,GI tract,0.0007179822187211
